Tier	Index	Morpheme	Hex Code	English	Type
Tier 0	0	END	0x00	end of sequence	Control Byte
Tier 0	1	BOUNDARY	0x01	morpheme separator	Control Byte
Tier 0	2	SPACE	0x02	word separator	Control Byte
Tier 0	3	NEWLINE	0x03	line break	Control Byte
Tier 0	4	PARAGRAPH	0x04	paragraph break	Control Byte
Tier 0	5	Q/A	0x05	question/answer transition	Control Byte
Tier 0	6	SKIP	0x06	skip enclosed region	Control Byte
Tier 0	7	JALEKON	0x07	code mode toggle	Control Byte
Tier 0	8	NAME	0x08	proper noun prefix	Control Byte
Tier 0	9	COIN	0x09	novel term prefix	Control Byte
Tier 1	10	0	0x0a	zero	Digit
Tier 1	11	1	0x0b	one	Digit
Tier 1	12	2	0x0c	two	Digit
Tier 1	13	3	0x0d	three	Digit
Tier 1	14	4	0x0e	four	Digit
Tier 1	15	5	0x0f	five	Digit
Tier 1	16	6	0x10	six	Digit
Tier 1	17	7	0x11	seven	Digit
Tier 1	18	8	0x12	eight	Digit
Tier 1	19	9	0x13	nine	Digit
Tier 1	20	.	0x14	decimal	Digit
Tier 2	21	a	0x15	letter a	Letter
Tier 2	22	b	0x16	letter b	Letter
Tier 2	23	c	0x17	letter c	Letter
Tier 2	24	ĉ	0x18	letter ĉ	Letter
Tier 2	25	d	0x19	letter d	Letter
Tier 2	26	e	0x1a	letter e	Letter
Tier 2	27	f	0x1b	letter f	Letter
Tier 2	28	g	0x1c	letter g	Letter
Tier 2	29	ĝ	0x1d	letter ĝ	Letter
Tier 2	30	h	0x1e	letter h	Letter
Tier 2	31	ĥ	0x1f	letter ĥ	Letter
Tier 2	32	i	0x20	letter i	Letter
Tier 2	33	j	0x21	letter j	Letter
Tier 2	34	ĵ	0x22	letter ĵ	Letter
Tier 2	35	k	0x23	letter k	Letter
Tier 2	36	l	0x24	letter l	Letter
Tier 2	37	m	0x25	letter m	Letter
Tier 2	38	n	0x26	letter n	Letter
Tier 2	39	o	0x27	letter o	Letter
Tier 2	40	p	0x28	letter p	Letter
Tier 2	41	r	0x29	letter r	Letter
Tier 2	42	s	0x2a	letter s	Letter
Tier 2	43	ŝ	0x2b	letter ŝ	Letter
Tier 2	44	t	0x2c	letter t	Letter
Tier 2	45	u	0x2d	letter u	Letter
Tier 2	46	ŭ	0x2e	letter ŭ	Letter
Tier 2	47	v	0x2f	letter v	Letter
Tier 2	48	z	0x30	letter z	Letter
Tier 2	49	q	0x31	letter q	Letter
Tier 2	50	w	0x32	letter w	Letter
Tier 2	51	x	0x33	letter x	Letter
Tier 2	52	y	0x34	letter y	Letter
Tier 3	53	,	0x35	comma	Punctuation
Tier 3	54	?	0x36	question mark	Punctuation
Tier 3	55	!	0x37	exclamation	Punctuation
Tier 4	56	-o	0x38	noun	Ending
Tier 4	57	-a	0x39	adjective	Ending
Tier 4	58	-e	0x3a	adverb	Ending
Tier 4	59	-i	0x3b	verb infinitive	Ending
Tier 4	60	-as	0x3c	present tense	Ending
Tier 4	61	-is	0x3d	past tense	Ending
Tier 4	62	-os	0x3e	future tense	Ending
Tier 4	63	-us	0x3f	conditional	Ending
Tier 4	64	-u	0x40	imperative	Ending
Tier 4	65	-j	0x41	plural	Ending
Tier 4	66	-n	0x42	accusative	Ending
Tier 4	67	la	0x43	the	Ending
Tier 5	68	-ad-	0x44	ongoing	Suffix
Tier 5	69	-an-	0x45	member	Suffix
Tier 5	70	-ar-	0x46	group	Suffix
Tier 5	71	-aĵ-	0x47	thing	Suffix
Tier 5	72	-ebl-	0x48	possible	Suffix
Tier 5	73	-ec-	0x49	quality	Suffix
