surface	lemma	feats	source
aacs	aac	PL	promoted
aafes	aaf	PL	promoted
aams	aam	PL	promoted
aaps	aap	PL	promoted
aardvarks	aardvark	PL	lexicon
aardwolves	aardwolf	PL	lexicon
abas	aba	PL	lexicon
abacas	abaca	PL	lexicon
abacuses	abacus	PL	lexicon
abalones	abalone	PL	lexicon
abamps	abamp	PL	lexicon
abamperes	abampere	PL	lexicon
abandoning	abandon	ING	agid
abandoned	abandon	PAST	agid
abandoned	abandon	PPART	agid
abandons	abandon	TSG	agid
abandonments	abandonment	PL	lexicon
abasing	abase	ING	lexicon
abased	abase	PAST	lexicon
abased	abase	PPART	lexicon
abases	abase	TSG	lexicon
abasements	abasement	PL	lexicon
abashing	abash	ING	lexicon
abashed	abash	PAST	lexicon
abashed	abash	PPART	lexicon
abashes	abash	TSG	lexicon
abashments	abashment	PL	lexicon
abasias	abasia	PL	lexicon
abating	abate	ING	lexicon
abated	abate	PAST	lexicon
abated	abate	PPART	lexicon
abates	abate	TSG	lexicon
abatements	abatement	PL	lexicon
abatises	abatis	PL	lexicon
abattises	abattis	PL	lexicon
abattoirs	abattoir	PL	lexicon
abbacies	abbacy	PL	lexicon
abbates	abbate	PL	promoted
abbatis	abbati	PL	promoted
abbes	abbe	PL	lexicon
abbeies	abbeie	PL	promoted
abbesses	abbess	PL	lexicon
abbeys	abbey	PL	lexicon
abbots	abbot	PL	lexicon
abbotts	abbott	PL	promoted
abbreviating	abbreviate	ING	lexicon
abbreviated	abbreviate	PAST	lexicon
abbreviated	abbreviate	PPART	lexicon
abbreviates	abbreviate	TSG	lexicon
abbreviations	abbreviation	PL	lexicon
abbies	abby	PL	promoted
abcs	abc	PL	promoted
abcesses	abcess	PL	promoted
abcoulombs	abcoulomb	PL	lexicon
abdicating	abdicate	ING	lexicon
abdicated	abdicate	PAST	lexicon
abdicated	abdicate	PPART	lexicon
abdicates	abdicate	TSG	lexicon
abdications	abdication	PL	lexicon
abdicators	abdicator	PL	lexicon
abdomens	abdomen	PL	lexicon
abdominally	abdominal	LY	promoted
abdominals	abdominal	PL	lexicon
abducing	abduce	ING	lexicon
abduced	abduce	PAST	lexicon
abduced	abduce	PPART	lexicon
abduces	abduce	TSG	lexicon
abducting	abduct	ING	lexicon
abducted	abduct	PAST	lexicon
abducted	abduct	PPART	lexicon
abducts	abduct	TSG	lexicon
abductions	abduction	PL	lexicon
abductors	abductor	PL	lexicon
abeer	abe	ER	promoted
abes	abe	PL	promoted
abecedarians	abecedarian	PL	lexicon
abels	abel	PL	promoted
abeles	abele	PL	lexicon
abelias	abelia	PL	lexicon
abelmosks	abelmosk	PL	lexicon
aberrances	aberrance	PL	lexicon
aberrancies	aberrancy	PL	lexicon
aberrantly	aberrant	LY	promoted
aberrants	aberrant	PL	lexicon
aberrations	aberration	PL	lexicon
abertis	aberti	PL	promoted
abetting	abet	ING	lexicon
abetted	abet	PAST	lexicon
abetted	abet	PPART	lexicon
abets	abet	TSG	lexicon
abetments	abetment	PL	lexicon
abetters	abetter	PL	lexicon
abettors	abettor	PL	lexicon
abeyances	abeyance	PL	lexicon
abfarads	abfarad	PL	lexicon
abhenries	abhenry	PL	lexicon
abhorring	abhor	ING	lexicon
abhorred	abhor	PAST	lexicon
abhorred	abhor	PPART	lexicon
abhors	abhor	TSG	lexicon
abhorrest	abhorre	EST	promoted
abhorrences	abhorrence	PL	lexicon
abhorrers	abhorrer	PL	lexicon
abis	abi	PL	promoted
abided	abid	PAST	promoted
abidances	abidance	PL	lexicon
abidest	abide	EST	promoted
abiding	abide	ING	lexicon
abode	abide	PAST	lexicon
abode	abide	PPART	lexicon
abides	abide	TSG	lexicon
abiogeneses	abiogenesis	PL	lexicon
abiogenists	abiogenist	PL	lexicon
abits	abit	PL	promoted
abjections	abjection	PL	lexicon
abjectnesses	abjectness	PL	lexicon
abjurations	abjuration	PL	lexicon
abjuring	abjure	ING	lexicon
abjured	abjure	PAST	lexicon
abjured	abjure	PPART	lexicon
abjures	abjure	TSG	lexicon
abjurers	abjurer	PL	lexicon
ablating	ablate	ING	lexicon
ablated	ablate	PAST	lexicon
ablated	ablate	PPART	lexicon
ablates	ablate	TSG	lexicon
ablations	ablation	PL	lexicon
ablatives	ablative	PL	lexicon
ablauts	ablaut	PL	lexicon
